,issue,title,arc,cover_date,href,artist,price,tagline,format,arc,characters,group
0,100,What Was That?,,October 1994,issue.php?ID=59313,Tom GrummettDan Panosian - 'Judas Jones',US $ 1.50,Rachel Ascendant,Color;  Standard Comic IssueThere are other versions of this issue in the database: X-Men Classic (1990) #100 Direct EditionStory,Add/remove story arcs to this issueSynopsis: ,"Beyonder (Marvel) Michael Bowen Colossus (Marvel)(03 - Piotr Rasputin) Fenris (Andrea Strucker) Fenris (Andreas Strucker) Aleytys 'Lee' Forrester Magneto (Marvel) 
 
 Nightcrawler (Marvel)(01 - Kurt Wagner) Professor X (Marvel) Rogue (Marvel)(01 - Anna Marie Raven) Shadowcat (Marvel) Storm (Marvel)(01 - Ororo Munroe) Rachel Anne Summers (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,99,It Was a Dark and Stormy Night...!,,September 1994,issue.php?ID=59312,Terry AustinTom Grummett,US $ 1.25,Power Brigade!,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Annalee (Marvel) Ape (Marvel)(Morlocks) Beautiful Dreamer (Marvel)(01 - Morlock) Callisto (Marvel) Energizer (Marvel) Erg (Marvel) Gee (Marvel) Leech (Marvel) Lightspeed (Marvel) Masque (Marvel)(01 - Morlocks) 
 
 Mass Master (Marvel) James ""Jim"" Power Margaret Power Rogue (Marvel)(01 - Anna Marie Raven) Shadowcat (Marvel) Rachel Anne Summers (Marvel) Sunder (Marvel) Tar Baby (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,98,- - Juggernaut's Back in Town!,,August 1994,issue.php?ID=59311,Matthew C. Ryan - 'Matt Ryan / Matty',US $ 1.25,Night of the Nimrod,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Angel (Marvel)(03 - Warren Worthington III) Beast (Marvel)(Henry McCoy) Colossus (Marvel)(03 - Piotr Rasputin) Cyclops (Marvel)(03 - Scott Summers) Bob Edwards Fenris (Andrea Strucker) Fenris (Andreas Strucker) Hulk (Marvel)(01 - Bruce Banner) Iceman (Marvel) Juggernaut (Marvel)(01 - Cain Marko) Lockheed (Marvel) 
 
 Magik (Marvel)(01 - Illyana Rasputin) Marvel Girl (Marvel)(01 - Jean Grey) Nightcrawler (Marvel)(01 - Kurt Wagner) Nimrod (Marvel)(02 - Sentinel) Rogue (Marvel)(01 - Anna Marie Raven) Shadowcat (Marvel) Spider-Man (Marvel)(01 - Peter Parker) Storm (Marvel)(01 - Ororo Munroe) Rachel Anne Summers (Marvel) Alexi Mikhailovitch Vazhin (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,97,Warhunt 2,,July 1994,issue.php?ID=59310,Matthew C. Ryan - 'Matt Ryan / Matty',US $ 1.75,Warhunt!,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Banshee (Marvel)(01 - Sean Cassidy) Callisto (Marvel) Cannonball (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Cypher (Marvel)(01 - Doug Ramsey) Empath (Marvel) Firestar (Marvel) Lockheed (Marvel) Mirage (Marvel)(02 - Danielle Moonstar) Nightcrawler (Marvel)(01 - Kurt Wagner) Nimrod (Marvel)(02 - Sentinel) 
 
 Professor X (Marvel) Jaime Rodriguez Rogue (Marvel)(01 - Anna Marie Raven) Roulette (Marvel) (02 - Jennifer Stavros) Shadowcat (Marvel) Storm (Marvel)(01 - Ororo Munroe) Rachel Anne Summers (Marvel) Sunder (Marvel) Thunderbird (Marvel)(02 - James Proudstar) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,96,Fun 'N' Games!,,June 1994,issue.php?ID=59309,Matthew C. Ryan - 'Matt Ryan / Matty',US $ 1.25,In the Clutches of Magus!,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Callisto (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Lockheed (Marvel) Magik (Marvel)(01 - Illyana Rasputin) Magus (Marvel)(02 - Technarchy) Nightcrawler (Marvel)(01 - Kurt Wagner) Professor X (Marvel) 
 
 Rogue (Marvel)(01 - Anna Marie Raven) Shadowcat (Marvel) Shadowcat (Marvel)(Days of Future Past) Storm (Marvel)(01 - Ororo Munroe) Rachel Anne Summers (Marvel) Warlock (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,95,Raiders of the Lost Temple!,,May 1994,issue.php?ID=59308,Hilary BartaTom Raney,US $ 1.25,To Slay a Spider!,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Arilynn (Marvel) Black Queen (02 - Selene Gallio) Caliban (Marvel) Callisto (Marvel) Cannonball (Marvel) Captain America (Marvel)(01 - Steve Rogers) Colossus (Marvel)(03 - Piotr Rasputin) Doctor Strange (Marvel)(02 - Stephen Strange) Kulan Gath (Marvel) Magik (Marvel)(01 - Illyana Rasputin) Magma (Marvel)(02 - Amara Aquilla) Mirage (Marvel)(02 - Danielle Moonstar) Nightcrawler (Marvel)(01 - Kurt Wagner) Nimrod (Marvel)(02 - Sentinel) 
 
 Professor X (Marvel) Jaime Rodriguez Rogue (Marvel)(01 - Anna Marie Raven) Scarlet Witch (Marvel)(02 - Wanda Maximoff) Spider-Man (Marvel)(01 - Peter Parker) Starfox (Marvel) Storm (Marvel)(01 - Ororo Munroe) Rachel Anne Summers (Marvel) Sunder (Marvel) Sunspot (Marvel) Vision (Marvel)(02 - Synthozoid) Warlock (Marvel) Wasp (Marvel)(01 - Janet Van Dyne) Wolfsbane (Marvel)",x_men_1990
0,94,An Age Undreamed About,,April 1994,issue.php?ID=59307,Harry CandelarioTom Raney,US $ 1.25,None.,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Black Queen (02 - Selene Gallio) Caliban (Marvel) Callisto (Marvel) Cannonball (Marvel) Captain America (Marvel)(01 - Steve Rogers) Colossus (Marvel)(03 - Piotr Rasputin) Dr. Valerie Cooper (Marvel) Doctor Strange (Marvel)(02 - Stephen Strange) Kulan Gath (Marvel) Henry Peter Gyrich (Marvel) Magik (Marvel)(01 - Illyana Rasputin) Magma (Marvel)(02 - Amara Aquilla) Mirage (Marvel)(02 - Danielle Moonstar) 
 
 Nightcrawler (Marvel)(01 - Kurt Wagner) Professor X (Marvel) Rogue (Marvel)(01 - Anna Marie Raven) Scarlet Witch (Marvel)(02 - Wanda Maximoff) Spider-Man (Marvel)(01 - Peter Parker) Starfox (Marvel) Storm (Marvel)(01 - Ororo Munroe) Rachel Anne Summers (Marvel) Sunder (Marvel) Sunspot (Marvel) Warlock (Marvel) Wasp (Marvel)(01 - Janet Van Dyne) Wolfsbane (Marvel)",x_men_1990
0,93,Two Girls Out to Have Fun!,,March 1994,issue.php?ID=59306,Tom RaneyBob Wiacek,US $ 1.25,Encounter at Hellfire!,Color;  Standard Comic IssueThere are other versions of this issue in the database: X-Men Classic (1990) #93 Direct EditionStory,Add/remove story arcs to this issueSynopsis: ,"Black Rook (F. Von Roehm) Colossus (Marvel)(03 - Piotr Rasputin) Kulan Gath (Marvel) Lockheed (Marvel) Magik (Marvel)(01 - Illyana Rasputin) Magma (Marvel)(02 - Amara Aquilla) Nightcrawler (Marvel)(01 - Kurt Wagner) Professor X (Marvel) 
 
 Jaime Rodriguez Rogue (Marvel)(01 - Anna Marie Raven) Selene (Marvel) Sebastian Hiram Shaw (Marvel) Storm (Marvel)(01 - Ororo Munroe) Rachel Anne Summers (Marvel) Tessa (Marvel)",x_men_1990
0,92,Legacy of the Lost,,February 1994,issue.php?ID=59305,Mark PenningtonBart Sears - 'Wittman',US $ 1.25,In the Line of Fire,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Adversary (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Colossus (Marvel)(Days of Future Past) Father Wagner Forge (Marvel) Aleytys 'Lee' Forrester Magik (Marvel)(01 - Illyana Rasputin) Magneto (Marvel) Nightcrawler (Marvel)(01 - Kurt Wagner) Professor X (Marvel) 
 
 Jaime Rodriguez Rogue (Marvel)(01 - Anna Marie Raven) Amanda Sefton (Marvel) Shadowcat (Marvel)(Days of Future Past) Storm (Marvel)(01 - Ororo Munroe) Storm (Marvel)(Days of Future Past) Rachel Anne Summers (Marvel) Sunspot (Marvel) Wolverine (Marvel)(Days of Future Past)",x_men_1990
0,91,Wraithkill!,,January 1994,issue.php?ID=59304,Mark PenningtonBart Sears - 'Wittman',US $ 1.25,Shoot to Kill,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Colossus (Marvel)(03 - Piotr Rasputin) Forge (Marvel) Naze 
 
 Rogue (Marvel)(01 - Anna Marie Raven) Storm (Marvel)(01 - Ororo Munroe) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,90,Lifedeath,,December 1993,issue.php?ID=59303,John R. BeattyBart Sears - 'Wittman',US $ 1.75,Life - -   - - Death,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Dr. Valerie Cooper (Marvel) Forge (Marvel) Henry Peter Gyrich (Marvel) Nightcrawler (Marvel)(01 - Kurt Wagner) 
 
 Professor X (Marvel) Rogue (Marvel)(01 - Anna Marie Raven) Storm (Marvel)(01 - Ororo Munroe)",x_men_1990
